cpd,name,charge,G_ai_kJ,dGf_exp_kJ,resid_loo_kJ
cpd03561,2-Hydroxybutyrate,-1,-1004099.977,-504.381,-34.04
cpd00509,deoxyribose-1-phosphate,-2,-2794374.210,-1439.840,2.97
cpd00142,Acetoacetate,-1,-1000995.191,-482.490,-0.02
cpd00071,Acetaldehyde,0,-403807.748,-140.038,-22.35
cpd00178,Acetone,0,-506966.349,-161.084,-27.34
cpd00196,Acetylphosphate,-2,-2089955.090,-1219.490,10.47
cpd00020,Pyruvate,-1,-897860.635,-472.270,-8.54
cpd00002,ATP,-3,-6998822.359,-2792.979,-59.97
cpd00033,Glycine,0,-746776.295,-380.535,14.95
cpd00130,L-Malate,-2,-1395014.899,-842.660,-9.37
cpd00107,L-Leucine,0,-1159290.652,-352.293,2.55
cpd00062,UTP,-3,-6861017.190,-3357.413,-30.32
cpd00047,Formate,-1,-497134.523,-350.879,-16.82
cpd01011,Butanal,0,-610060.819,-120.164,-30.20
cpd00214,Palmitate,-1,-2044021.885,-259.400,-10.37
cpd00738,phosphoserine,-2,-2535986.812,-1360.750,16.73
cpd00003,NAD,-1,-7706945.943,-2216.730,31.49
cpd00206,dCMP,-2,-3630600.272,-1243.778,15.40
cpd00119,L-Histidine,0,-1440695.746,-202.589,34.74
cpd00080,Glycerol-3-phosphate,-2,-2393667.342,-1358.960,16.74
cpd00038,GTP,-3,-7196411.158,-3039.831,-0.49
cpd00159,L-Lactate,-1,-900972.082,-512.666,-30.44
cpd00157,Glycerone,0,-902041.021,-451.000,-18.02
cpd00018,AMP,-2,-4018194.771,-1035.193,-21.37
cpd00068,ITP,-3,-7051025.069,-3026.280,5.40
cpd00089,Glucose-1-phosphate,-2,-3292638.507,-1756.870,-18.57
cpd00260,Isocitrate,-3,-1992202.659,-1156.040,-18.80
cpd00095,Glycerone-phosphate,-2,-2390487.471,-1296.260,86.14
cpd00355,Nicotinamide ribonucleotide,-1,-3887034.972,-1345.550,74.44
cpd00177,dADP,-2,-5311515.532,-1787.585,3.75
cpd00562,1-Octanol,0,-1025656.056,-126.566,-43.05
