cpd,name,charge,S_ai_JKmol,dfS_ai_JKmol,dfS_exp_JKmol,loo_resid_JKmol
cpd03561,2-Hydroxybutyrate,-1,359.12,-428.93,-691.91,-48.80
cpd00071,Acetaldehyde,0,262.57,-112.84,-237.34,22.40
cpd00178,Acetone,0,280.59,-231.24,-326.07,-29.18
cpd00020,Pyruvate,-1,317.67,-203.28,-415.73,-56.12
cpd00002,ATP,-3,767.48,-2075.02,-2670.97,-50.53
cpd00033,Glycine,0,305.06,-334.06,-480.82,32.47
cpd00130,L-Malate,-2,384.51,-412.66,-795.34,-76.40
cpd00107,L-Leucine,0,419.41,-765.39,-973.90,16.13
cpd00062,UTP,-3,750.17,-1938.99,-2537.80,-25.79
cpd00047,Formate,-1,238.57,-37.65,-249.57,-45.14
cpd01011,Butanal,0,326.33,-321.92,-454.12,-10.40
cpd00003,NAD,-1,984.48,-3023.66,-3456.00,43.90
cpd00206,dCMP,-2,570.87,-1311.35,-1793.30,-24.63
cpd00119,L-Histidine,0,406.49,-708.55,-838.92,-19.54
cpd00080,Glycerol-3-phosphate,-2,421.73,-709.38,-1226.33,49.03
cpd00038,GTP,-3,775.22,-2169.85,-2768.19,-44.90
cpd00159,L-Lactate,-1,329.29,-322.34,-583.52,-30.62
cpd00018,AMP,-2,607.86,-1471.70,-1989.01,12.61
cpd00068,ITP,-3,755.06,-2028.87,-2636.16,-18.28
cpd00355,Nicotinamide ribonucleotide,-1,592.01,-1439.14,-1824.55,61.20
cpd00177,dADP,-2,660.10,-1731.03,-2162.31,-61.67
cpd00562,1-Octanol,0,453.23,-871.38,-1022.11,-122.29
cpd00048,Sulfate,-2,267.60,-174.73,-554.21,-33.98
cpd00296,dGMP,-2,596.11,-1483.45,-2029.76,44.01
cpd00073,Urea,0,278.20,-283.07,-385.21,-13.19
cpd00207,Guanine,0,380.14,-556.83,-722.82,60.67
cpd00363,Ethanol,0,269.73,-236.36,-357.60,-7.25
cpd00115,dATP,-3,759.47,-1980.46,-2577.85,-52.72
cpd00182,Adenosine,0,549.42,-1246.68,-1431.34,8.24
cpd00051,L-Arginine,1,478.19,-1124.69,-1192.10,32.64
cpd00005,NADPH,-4,1058.04,-3298.90,-4223.83,1.32
cpd00060,L-Methionine,0,417.37,-663.06,-819.54,33.98
cpd00249,Uridine,0,513.83,-1128.93,-1302.48,18.77
cpd00128,Adenine,0,359.63,-474.77,-610.96,23.49
cpd00311,Guanosine,0,564.82,-1333.85,-1529.15,23.27
cpd00024,2-Oxoglutarate,-2,411.02,-391.89,-840.68,0.49
cpd00065,L-Tryptophan,0,467.64,-776.32,-993.11,71.36
cpd00055,Formaldehyde,0,218.59,-20.40,-119.75,16.69
cpd00161,L-Threonine,0,382.90,-631.63,-829.49,47.66
cpd00359,indol,0,332.81,-266.29,-423.61,56.90
cpd00004,NADH,-2,1002.23,-3071.25,-3630.28,-42.88
cpd00035,L-Alanine,0,333.04,-442.50,-613.09,36.63
cpd00054,L-Serine,0,361.40,-516.71,-680.48,32.75
cpd00129,L-Proline,0,350.40,-567.30,-709.23,-7.38
cpd00096,CDP,-2,670.49,-1728.44,-2173.51,-40.64
cpd00141,Propionate,-1,296.42,-252.64,-503.54,-44.27
cpd00066,L-Phenylalanine,0,428.62,-642.72,-834.54,44.50
cpd00126,GMP,-2,617.70,-1564.43,-2093.68,28.36
cpd00046,CMP,-2,586.02,-1398.77,-1913.70,12.42
cpd00031,GDP,-2,693.88,-1902.39,-2349.06,-39.56
cpd00367,Cytidine,0,523.35,-1177.98,-1353.72,1.49
cpd00246,Inosine,0,537.00,-1200.53,-1377.46,19.36
cpd00014,UDP,-2,673.70,-1666.66,-2126.07,-7.25
cpd00052,CTP,-3,756.93,-1990.80,-2590.55,-43.51
cpd00294,dAMP,-2,587.65,-1389.34,-1895.89,-2.03
cpd00100,Glycerol,0,351.89,-495.76,-600.60,-38.91
cpd01269,2-Propanol,0,299.66,-342.85,-488.34,-2.20
cpd00069,L-Tyrosine,0,452.38,-721.53,-925.36,59.97
cpd01088,1-Octanal,0,445.88,-748.05,-887.67,-95.92
cpd00076,Sucrose,0,692.60,-1942.03,-2130.37,-86.02
cpd00006,NADP,-3,1043.26,-3248.34,-4014.55,47.80
cpd00039,L-Lysine,1,426.46,-984.82,-1087.31,75.39
cpd00061,Phosphoenolpyruvate,-3,411.47,-392.94,-1199.83,233.04
cpd00053,L-Glutamine,0,414.05,-767.36,-920.31,-9.00
cpd00297,dTDP,-2,685.46,-1688.75,-2127.11,-52.89
cpd00533,dCDP,-2,666.86,-1629.50,-2053.11,-65.70
cpd00295,dGDP,-2,680.27,-1813.43,-2285.10,-15.86
cpd03662,n-Butanol,0,332.13,-446.80,-582.71,-33.08
cpd00139,Glycolate,-1,298.26,-216.95,-470.95,-18.24
cpd00106,Fumarate,-2,366.93,-196.99,-588.70,-43.66
cpd00023,L-Glutamate,-1,405.34,-652.16,-939.36,-31.10
cpd00041,L-Aspartate,-1,381.63,-539.45,-805.11,-33.39
cpd00036,Succinate,-2,358.25,-336.35,-743.72,-52.68
cpd00029,Acetate,-1,287.44,-125.20,-391.39,-8.42
cpd00032,Oxaloacetate,-2,389.97,-276.52,-558.81,-161.49
cpd00137,Citrate,-3,467.07,-612.06,-1207.70,-48.62
cpd00475,Ribose 1-phosphate,-2,484.47,-993.94,-1521.99,51.00
