cpd,name,our_charge,du_pH7_charge,agree
cpd00001,H2O,0,0,1
cpd00002,ATP,-3,-3,1
cpd00003,NAD,-1,-1,1
cpd00004,NADH,-2,-2,1
cpd00005,NADPH,-4,-4,1
cpd00006,NADP,-3,-3,1
cpd00008,ADP,-2,-2,1
cpd00009,Phosphate,-2,-2,1
cpd00010,CoA,-4,-4,1
cpd00012,PPi,-3,-3,1
cpd00013,NH3,1,1,1
cpd00014,UDP,-2,-2,1
cpd00018,AMP,-2,-2,1
cpd00019,S-Adenosyl-homocysteine,0,0,1
cpd00020,Pyruvate,-1,-1,1
cpd00022,Acetyl-CoA,-4,-4,1
cpd00023,L-Glutamate,-1,-1,1
cpd00024,2-Oxoglutarate,-2,-2,1
cpd00026,UDP-glucose,-2,-2,1
cpd00027,D-Glucose,0,0,1
cpd00029,Acetate,-1,-1,1
cpd00031,GDP,-2,-2,1
cpd00032,Oxaloacetate,-2,-2,1
cpd00033,Glycine,0,0,1
cpd00035,L-Alanine,0,0,1
cpd00036,Succinate,-2,-2,1
cpd00037,UDP-N-acetylglucosamine,-2,-2,1
cpd00038,GTP,-3,-3,1
cpd00039,L-Lysine,1,1,1
cpd00040,Glyoxalate,-1,-1,1
cpd00041,L-Aspartate,-1,-1,1
cpd00043,UDP-galactose,-2,-2,1
cpd00046,CMP,-2,-2,1
cpd00047,Formate,-1,-1,1
cpd00048,Sulfate,-2,-2,1
cpd00051,L-Arginine,1,1,1
cpd00052,CTP,-3,-3,1
cpd00053,L-Glutamine,0,0,1
cpd00054,L-Serine,0,0,1
cpd00055,Formaldehyde,0,0,1
cpd00060,L-Methionine,0,0,1
cpd00061,Phosphoenolpyruvate,-3,-3,1
cpd00062,UTP,-3,-3,1
cpd00064,Ornithine,1,1,1
cpd00065,L-Tryptophan,0,0,1
cpd00066,L-Phenylalanine,0,0,1
cpd00068,ITP,-3,-3,1
cpd00069,L-Tyrosine,0,0,1
cpd00071,Acetaldehyde,0,0,1
cpd00072,D-fructose-6-phosphate,-2,-2,1
cpd00073,Urea,0,0,1
cpd00076,Sucrose,0,0,1
cpd00078,Succinyl-CoA,-5,-5,1
cpd00079,D-glucose-6-phosphate,-2,-2,1
cpd00080,Glycerol-3-phosphate,-2,-2,1
cpd00082,D-Fructose,0,0,1
cpd00083,GDP-mannose,-2,-2,1
cpd00085,beta-Alanine,0,0,1
cpd00086,Propionyl-CoA,-4,-4,1
cpd00087,Tetrahydrofolate,-2,-2,1
cpd00089,Glucose-1-phosphate,-2,-2,1
cpd00090,IDP,-2,-2,1
cpd00094,2-Oxobutyrate,-1,-1,1
cpd00095,Glycerone-phosphate,-2,-2,1
cpd00096,CDP,-2,-2,1
cpd00098,Choline,1,1,1
cpd00100,Glycerol,0,0,1
cpd00101,ribose-5-phosphate,-2,-2,1
cpd00102,Glyceraldehyde3-phosphate,-2,-2,1
cpd00103,PRPP,-4,-4,1
cpd00105,D-Ribose,0,0,1
cpd00106,Fumarate,-2,-2,1
cpd00107,L-Leucine,0,0,1
cpd00108,Galactose,0,0,1
cpd00111,Oxidized glutathione,-2,-2,1
cpd00113,Isopentenyldiphosphate,-2,-2,1
cpd00114,IMP,-2,-2,1
cpd00115,dATP,-3,-3,1
cpd00117,D-Alanine,0,0,1
cpd00119,L-Histidine,0,0,1
cpd00121,L-Inositol,0,0,1
cpd00122,N-Acetyl-D-glucosamine,0,0,1
cpd00125,5-10-Methylenetetrahydrofolate,-2,-2,1
cpd00126,GMP,-2,-2,1
cpd00128,Adenine,0,0,1
cpd00129,L-Proline,0,0,1
cpd00130,L-Malate,-2,-2,1
cpd00133,Nicotinamide,0,0,1
cpd00134,Palmitoyl-CoA,-4,-4,1
cpd00135,Homocysteine,0,0,1
cpd00137,Citrate,-3,-3,1
cpd00138,D-Mannose,0,0,1
cpd00139,Glycolate,-1,-1,1
cpd00141,Propionate,-1,-1,1
cpd00142,Acetoacetate,-1,-1,1
cpd00143,Phenylpyruvate,-1,-1,1
cpd00144,UDPglucuronate,-3,-3,1
cpd00145,Hydroxypyruvate,-1,-1,1
cpd00146,Carbamoylphosphate,-2,-2,1
cpd00147,5-Methylthioadenosine,0,0,1
