du_compound_id,name,smiles,inchikey,inchikey_block,has_dG_f,has_dH_f,has_dS_f,matched_cpd,in_abinitio_set
CHB_10334,,CC(C)C1=CC=C(C)CC1,YHQGMYUVUMAZJR-UHFFFAOYSA-N,YHQGMYUVUMAZJR,0,0,1,cpd06788,0
CHB_10577,,CC(C)C1=CCC(C)=CC1,YKFLAYDHMOASIY-UHFFFAOYSA-N,YKFLAYDHMOASIY,0,0,1,cpd06790,0
CHB_10589,3-methylbenzoic acid,Cc1cccc(c1)C([O-])=O,GPSDUZXPYCFOSQ-UHFFFAOYSA-M,GPSDUZXPYCFOSQ,1,1,1,cpd04449,0
CHB_10590,,Cc1cccc(C)c1,IVSZLXZYQVIEFR-UHFFFAOYSA-N,IVSZLXZYQVIEFR,0,0,1,cpd04446,0
CHB_10605,,CCCCCCCCCCO,MWKFXSUHUHTGQN-UHFFFAOYSA-N,MWKFXSUHUHTGQN,0,0,1,cpd01147,0
CHB_10611,,Cc1ccccc1C,CTQNGGLPUBDAKN-UHFFFAOYSA-N,CTQNGGLPUBDAKN,0,0,1,cpd04450,0
CHB_10624,,CC(C)c1ccc(C)cc1,HFPZCAJZSCWRBC-UHFFFAOYSA-N,HFPZCAJZSCWRBC,0,0,1,cpd03982,0
CHB_10633,,Cc1ccc(C)cc1,URLKBWYHVLBVBO-UHFFFAOYSA-N,URLKBWYHVLBVBO,0,0,1,cpd04136,0
CHB_1093,,CCCCC(CC)CO,YIWUKEYIRIRTPP-UHFFFAOYSA-N,YIWUKEYIRIRTPP,0,0,1,cpd01641,0
CHB_1148,2-hydroxybutanoate,CCC(O)C(O)=O,AFENDNXGAFYKQO-UHFFFAOYSA-N,AFENDNXGAFYKQO,1,1,1,cpd03561,1
CHB_11563,2-deoxy--D-ribose 1-phosphate,OC[C@H]1O[C@@H](C[C@@H]1O)OP([O-])([O-])=O,KBDKAJNTYKVSEK-VPENINKCSA-L,KBDKAJNTYKVSEK,1,0,0,cpd00509,1
CHB_1280,,CCCCCCCCCC(C)=O,KYWIYKKSMDLRDC-UHFFFAOYSA-N,KYWIYKKSMDLRDC,0,0,1,cpd01290,0
CHB_13705,acetoacetate,CC(=O)CC(O)=O,WDJHALXBUFZDSR-UHFFFAOYSA-N,WDJHALXBUFZDSR,1,0,0,cpd00142,1
CHB_15343,acetaldehyde,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,IKHGUXGNUITLKF,1,1,1,cpd00071,1
CHB_15347,acetone,CC(C)=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,CSCPPACGZOOCGX,1,1,1,cpd00178,1
CHB_15350,acetyl phosphate,CC(=O)OP([O-])([O-])=O,LIPOUNRJVLNBCD-UHFFFAOYSA-L,LIPOUNRJVLNBCD,1,0,0,cpd00196,1
CHB_15361,pyruvate,CC(=O)C(O)=O,LCTONWCANYUPML-UHFFFAOYSA-N,LCTONWCANYUPML,1,1,1,cpd00020,1
