cpd_id,is_Rgroup,gnn,dgp_original,dgp_retrained,eq_structurebased,eq_detail
cpd00001,False,1,1,1,1,covered
cpd00002,False,1,0,1,1,covered
cpd00003,False,1,0,1,1,covered
cpd00004,False,1,0,1,1,covered
cpd00005,False,1,0,1,1,covered
cpd00006,False,1,0,1,1,covered
cpd00007,False,1,1,1,1,covered
cpd00008,False,1,0,0,1,covered
cpd00009,False,1,1,1,1,covered
cpd00010,False,1,0,1,1,covered
cpd00011,False,1,1,1,1,covered
cpd00012,False,1,1,1,1,covered
cpd00013,False,1,1,1,1,covered
cpd00014,False,1,0,1,1,covered
cpd00015,False,1,0,1,0,notfound
cpd00016,False,1,0,1,1,covered
cpd00017,False,1,0,1,0,found_notEst
cpd00018,False,1,0,1,1,covered
cpd00019,False,1,0,1,1,covered
cpd00020,False,1,1,1,1,covered
cpd00021,False,1,1,1,1,covered
cpd00022,False,1,0,1,1,covered
cpd00023,False,1,1,1,1,covered
cpd00024,False,1,1,1,1,covered
cpd00025,False,1,1,1,1,covered
cpd00026,False,1,0,1,1,covered
cpd00027,False,1,0,1,1,covered
cpd00029,False,1,1,1,1,covered
cpd00030,False,1,1,1,0,found_notEst
cpd00031,False,1,0,1,0,found_notEst
cpd00032,False,1,1,1,1,covered
cpd00033,False,1,1,1,1,covered
cpd00034,False,1,1,1,0,found_notEst
cpd00035,False,1,1,1,1,covered
cpd00036,False,1,1,1,1,covered
cpd00037,False,1,0,1,1,covered
cpd00038,False,1,0,1,0,found_notEst
cpd00039,False,1,1,1,1,covered
cpd00040,False,1,1,1,1,covered
cpd00041,False,1,1,1,1,covered
cpd00042,False,1,0,1,1,covered
cpd00043,False,1,0,1,1,covered
cpd00044,False,1,0,1,1,covered
cpd00045,False,1,0,1,1,covered
cpd00046,False,1,0,1,1,covered
cpd00047,False,1,1,1,1,covered
cpd00048,False,1,1,1,1,covered
cpd00049,True,1,0,0,,
cpd00050,False,1,0,1,1,covered
cpd00051,False,1,1,1,1,covered
cpd00052,False,1,0,1,1,covered
cpd00053,False,1,1,1,1,covered
cpd00054,False,1,1,1,1,covered
cpd00055,False,1,1,1,1,covered
cpd00056,False,1,0,1,0,found_notEst
cpd00057,True,1,0,0,,
cpd00058,False,1,1,1,0,found_notEst
cpd00059,False,1,0,1,1,covered
cpd00060,False,1,1,1,1,covered
cpd00061,False,1,1,1,1,covered
cpd00062,False,1,0,0,1,covered
cpd00063,False,1,1,1,0,found_notEst
cpd00064,False,1,1,1,1,covered
cpd00065,False,1,0,1,1,covered
cpd00066,False,1,0,1,1,covered
cpd00067,False,1,0,1,0,found_notEst
cpd00068,False,1,0,0,1,covered
cpd00069,False,1,0,1,1,covered
cpd00070,False,1,0,1,1,covered
cpd00071,False,1,1,1,1,covered
cpd00072,False,1,0,1,1,covered
cpd00073,False,1,1,1,1,covered
cpd00075,False,1,1,1,1,covered
cpd00076,False,1,0,1,1,covered
cpd00077,False,1,0,1,1,covered
cpd00078,False,1,0,1,1,covered
cpd00079,False,1,0,1,1,covered
cpd00080,False,1,1,1,1,covered
cpd00081,False,1,1,1,1,covered
cpd00082,False,1,0,1,1,covered
cpd00083,False,1,0,1,0,found_notEst
cpd00084,False,1,0,1,1,covered
cpd00085,False,1,1,1,1,covered
