cpd	charge	triage	groups	n_anionic_sites
cpd00001	0	IMPLICIT_OK		0
cpd00002	-3	NEED_EXPLICIT	phosphate	3
cpd00003	-1	NEED_EXPLICIT	phosphate;aromatic_N+	2
cpd00004	-2	NEED_EXPLICIT	phosphate	2
cpd00005	-4	NEED_EXPLICIT	phosphate	4
cpd00006	-3	NEED_EXPLICIT	phosphate;aromatic_N+	4
cpd00007	0	IMPLICIT_OK		0
cpd00008	-2	NEED_EXPLICIT	phosphate	2
cpd00009	-2	NEED_EXPLICIT	phosphate	2
cpd00010	-4	NEED_EXPLICIT	phosphate	4
cpd00011	0	IMPLICIT_OK		0
cpd00012	-3	NEED_EXPLICIT	phosphate	3
cpd00013	1	BORDERLINE	ammonium	0
cpd00014	-2	NEED_EXPLICIT	phosphate	2
cpd00015	-2	NEED_EXPLICIT	phosphate	2
cpd00016	-2	NEED_EXPLICIT	phosphate	2
cpd00017	1	NEED_EXPLICIT	carboxylate;ammonium	1
cpd00018	-2	NEED_EXPLICIT	phosphate	2
cpd00019	0	NEED_EXPLICIT	carboxylate;ammonium	1
cpd00020	-1	NEED_EXPLICIT	carboxylate	1
cpd00021	0	IMPLICIT_OK		0
cpd00022	-4	NEED_EXPLICIT	phosphate	4
cpd00023	-1	NEED_EXPLICIT	carboxylate;ammonium	2
cpd00024	-2	NEED_EXPLICIT	carboxylate	2
cpd00025	0	IMPLICIT_OK		0
cpd00026	-2	NEED_EXPLICIT	phosphate	2
cpd00027	0	IMPLICIT_OK		0
cpd00028	-2	NEED_EXPLICIT	carboxylate	2
cpd00029	-1	NEED_EXPLICIT	carboxylate	1
cpd00030	2	IMPLICIT_OK		0
cpd00031	-2	NEED_EXPLICIT	phosphate	2
cpd00032	-2	NEED_EXPLICIT	carboxylate	2
cpd00033	0	NEED_EXPLICIT	carboxylate;ammonium	1
cpd00034	2	IMPLICIT_OK		0
cpd00035	0	NEED_EXPLICIT	carboxylate;ammonium	1
cpd00036	-2	NEED_EXPLICIT	carboxylate	2
cpd00037	-2	NEED_EXPLICIT	phosphate	2
cpd00038	-3	NEED_EXPLICIT	phosphate	3
cpd00039	1	NEED_EXPLICIT	carboxylate;ammonium	1
cpd00040	-1	NEED_EXPLICIT	carboxylate	1
cpd00041	-1	NEED_EXPLICIT	carboxylate;ammonium	2
cpd00042	-2	NEED_EXPLICIT	carboxylate;thiolate;ammonium	3
cpd00043	-2	NEED_EXPLICIT	phosphate	2
cpd00044	-4	NEED_EXPLICIT	phosphate;sulfonate;sulfate	4
cpd00045	-4	NEED_EXPLICIT	phosphate	4
cpd00046	-2	NEED_EXPLICIT	phosphate	2
cpd00047	-1	NEED_EXPLICIT	carboxylate	1
cpd00048	-2	NEED_EXPLICIT	sulfonate	2
cpd00050	-2	NEED_EXPLICIT	phosphate	2
cpd00051	1	NEED_EXPLICIT	carboxylate;guanidinium;ammonium	1
cpd00052	-3	NEED_EXPLICIT	phosphate	3
cpd00053	0	NEED_EXPLICIT	carboxylate;ammonium	1
cpd00054	0	NEED_EXPLICIT	carboxylate;ammonium	1
cpd00055	0	IMPLICIT_OK		0
cpd00056	-1	NEED_EXPLICIT	phosphate;aromatic_N+	2
