rank,rxn,cls,name,exp,dGP,pH7 base,+pH match
1,rxn00086,redox,glutathione:NADP+ oxidoreductase,11.9,101.6,-31.3,-25.3
2,rxn32133,redox,Glutathione reductase (NADPH),-11.9,-101.6,31.3,25.3
3,rxn00070,redox,glutathione:NAD+ oxidoreductase,18.0,104.9,-46.5,-46.5
4,rxn34788,redox,"glutathione-disulfide reductase, chloroplast",-18.0,-104.9,46.5,46.5
5,rxn00605,glycosyl,UDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase,-9.5,-56.8,-14.3,-14.3
6,rxn01713,glycosyl,UDPglucose:sinapate D-glucosyltransferase,3.9,-39.8,19.9,14.2
7,rxn01834,glyoxalase,(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing),23.5,-19.8,112.6,112.6
8,rxn00579,glycosyl,UDP-glucose:D-fructose 2-alpha-D-glucosyltransferase,-4.2,-46.9,30.8,30.8
9,rxn01675,nucleotidyl,dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase,1.0,42.9,39.9,39.9
10,rxn01005,nucleotidyl,UTP:1-phospho-alpha-D-glucuronate uridylyltransferase,2.7,42.7,1.2,1.2
