metabolite_id,common_name,formula,smiles,smiles_neutral,kegg_ids,inchikey,role,reactions_in_top10,n_reactions_in_top10,n_reactions_in_full_db,is_cofactor
cpd00067,H+,H,[H+],[H+],C00080,GPRLSGONYQIRFK-UHFFFAOYSA-N,product;reactant,rxn00086(#1);rxn32133(#2);rxn00070(#3);rxn34788(#4);rxn01713(#6);rxn01834(#7),6,30274,0
cpd00042,GSH,C10H15N3O6S,[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-],N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,C00051,RWSXRVCMGQZWBV-WDSKDSINSA-L,product;reactant,rxn00086(#1);rxn32133(#2);rxn00070(#3);rxn34788(#4);rxn01834(#7),5,399,0
cpd00111,Oxidized glutathione,C20H30N6O12S2,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,C00127,YPZRWBKMTBYPTK-BJDJZHNGSA-L,product;reactant,rxn00086(#1);rxn32133(#2);rxn00070(#3);rxn34788(#4),4,87,0
cpd00014,UDP,C9H12N2O12P2,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C00015;G10619,XCCTYIAWTASOJW-XVFCMESISA-L,product,rxn00605(#5);rxn01713(#6);rxn00579(#8),3,2289,0
cpd00026,UDP-glucose,C15H22N2O17P2,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C00029;G10608,HSCJRCZFDFQWRP-JZMIEXBBSA-L,reactant,rxn00605(#5);rxn01713(#6);rxn00579(#8),3,800,0
cpd00003,NAD,C21H26N7O14P2,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C00003,BAWFJGJZGIEFAR-NNYOXOHSSA-M,product;reactant,rxn00070(#3);rxn34788(#4),2,3809,0
cpd00004,NADH,C21H27N7O14P2,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C00004,BOPGDPNILDQYTO-NNYOXOHSSA-L,product;reactant,rxn00070(#3);rxn34788(#4),2,3695,0
cpd00005,NADPH,C21H26N7O17P3,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C00005,ACFIXJIJDZMPPO-NNYOXOHSSA-J,product;reactant,rxn00086(#1);rxn32133(#2),2,5189,0
cpd00006,NADP,C21H25N7O17P3,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C00006,XJLXINKUBYWONI-NNYOXOHSSA-K,product;reactant,rxn00086(#1);rxn32133(#2),2,5205,0
cpd00012,PPi,HO7P2,O=P([O-])([O-])OP(=O)([O-])O,O=P(O)(O)OP(=O)(O)O,C00013,XPPKVPWEQAFLFU-UHFFFAOYSA-K,product,rxn01675(#9);rxn01005(#10),2,2835,0
